transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,Profit,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age
1,2,2950,2017-02-25,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,17.869999999999997,Kristos,Anthony,Male,19,1955-01-11,Software Engineer I,Financial Services,Mass Customer,N,Yes,10.0,69
11065,1,2950,2017-10-16,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,37659.0,448.68,Kristos,Anthony,Male,19,1955-01-11,Software Engineer I,Financial Services,Mass Customer,N,Yes,10.0,69
18923,62,2950,2017-04-26,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72,40487.0,179.44,Kristos,Anthony,Male,19,1955-01-11,Software Engineer I,Financial Services,Mass Customer,N,Yes,10.0,69
2,3,3120,2017-05-21,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701.0,1702.5499999999995,Lauree,O'Donnell,Female,89,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,45
6862,4,3120,2017-10-05,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,40649.0,451.6500000000001,Lauree,O'Donnell,Female,89,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,45
9155,91,3120,2017-10-30,1.0,Approved,Solex,Standard,medium,medium,100.35,75.26,38002.0,25.08999999999999,Lauree,O'Donnell,Female,89,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,45
11409,95,3120,2017-01-30,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,34556.0,41.13,Lauree,O'Donnell,Female,89,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,45
13066,38,3120,2017-01-20,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,34071.0,751.02,Lauree,O'Donnell,Female,89,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,45
15829,41,3120,2017-12-10,0.0,Approved,Solex,Road,medium,medium,416.98,312.74,41848.0,104.24,Lauree,O'Donnell,Female,89,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,45
18612,10,3120,2017-10-24,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,38216.0,1103.43,Lauree,O'Donnell,Female,89,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,45
3,37,402,2017-10-16,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,1544.61,Berne,Donegan,Male,9,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,46
1674,47,402,2017-11-04,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991.0,189.28,Berne,Donegan,Male,9,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,46
13820,12,402,2017-09-30,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,1069.5500000000002,Berne,Donegan,Male,9,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,46
17127,3,402,2017-01-29,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167.0,1702.5499999999995,Berne,Donegan,Male,9,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,46
17824,61,402,2017-05-05,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0,14.229999999999997,Berne,Donegan,Male,9,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,46
18312,77,402,2017-10-03,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553.0,445.2099999999999,Berne,Donegan,Male,9,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,46
4,88,3135,2017-08-31,0.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145.0,817.36,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,62
1134,59,3135,2017-02-27,1.0,Approved,Solex,Standard,medium,large,1061.56,733.58,34170.0,327.9799999999999,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,62
7000,98,3135,2017-02-08,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0,143.36,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,62
8683,59,3135,2017-05-17,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,34170.0,327.9799999999999,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,62
9385,73,3135,2017-05-18,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,37499.0,1612.25,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,62
